row,supplier_name,product_name,source_url,http_status,csv_price,page_price,regular_price,price_status,variant_used,variant_table,csv_material,page_material_text,page_material,csv_warranty,page_warranty,ex_vat,material_status
90,Noi That Hoa Phat,Giá sắt trung tải 3 tầng GTT15-3P,https://noithathoaphat.com.vn/products/Gi%C3%A1-s%E1%BA%AFt-trung-t%E1%BA%A3i-3-t%E1%BA%A7ng-GTT15%252d3P.html,200,1979500,1979500,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
91,Noi That Hoa Phat,Giá sắt đựng tập File GS6,https://noithathoaphat.com.vn/products/Giá-sắt-đựng-tập-File-GS6.html,200,2086500,2086500,,ok,,,kim_loai,Sắt sơn tĩnh điện cao cấp,kim_loai,12,12,False,ok
92,Noi That Hoa Phat,Giá thép đa năng GS2K1,https://noithathoaphat.com.vn/products/Giá-thép-đa-năng-GS2K1.html,200,1926000,1926000,,ok,,,kim_loai,Sắt sơn tĩnh điện cao cấp,kim_loai,12,12,False,ok
93,Noi That Hoa Phat,Kệ sắt 4 tầng GTT20-4P,https://noithathoaphat.com.vn/products/K%E1%BB%87-s%E1%BA%AFt-4-t%E1%BA%A7ng-GTT20%252d4P.html,200,3135100,3135100,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
94,Noi That Hoa Phat,Kệ sắt trung tải 3 tầng GTT20-3P,https://noithathoaphat.com.vn/products/K%E1%BB%87-s%E1%BA%AFt-trung-t%E1%BA%A3i-3-t%E1%BA%A7ng-GTT20%252d3P.html,200,2514500,2514500,,ok,,,kim_loai,Thép sơn tĩnh điện,kim_loai,12,12,False,ok
95,Noi That Hoa Phat,Bộ ghế sofa bọc vải SF47 - Ghế 3 chỗ + Bọc vải,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-bọc-vải-SF47.html,200,13407100,13407100,,ok,Ghế 3 chỗ + Bọc vải,Ghế 3 chỗ + Bọc vải=13407100; Ghế 4 chỗ + Bọc vải=16242600,vai_boc,bọc vải nỉ cao cấp,vai_boc,12,12,False,ok
96,Noi That Hoa Phat,Bộ ghế sofa cao cấp Hòa Phát SF508 - Ghế 3 chỗ + Bọc Da thật,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-cao-cấp-Hòa-Phát-SF508.html,200,14156100,14156100,,ok,Ghế 3 chỗ + Bọc Da thật,Bộ ghế Sofa + Bọc Da thật=None; Bộ ghế Sofa + Bọc PVC=None; Ghế 1 chỗ + Bọc Da thật=7746800; Ghế 1 chỗ + Bọc PVC=4461900; Ghế 2 chỗ + Bọc Da thật=11010300; Ghế 2 chỗ + Bọc PVC=5810100; Ghế 3 chỗ + Bọc Da thật=14156100; Ghế 3 chỗ + Bọc PVC=7072700,da_that,"bọc da thật, PVC hoặc PVC kết hợp vải Giá sản phẩm: gồm ghế 3 chỗ SF508-3 + ghế 1 chỗ SF508-1 chất liệu da thật",da_that,12,12,False,ok
97,Noi That Hoa Phat,Bộ ghế sofa cao cấp SF306A - Ghế 3 chỗ + Bọc Da thật,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-cao-cấp-SF306A.html,200,21603300,21603300,,ok,Ghế 3 chỗ + Bọc Da thật,Bộ ghế Sofa + Bọc Da thật=None; Bộ ghế Sofa + Bọc PVC=None; Ghế 1 chỗ + Bọc Da thật=10807000; Ghế 1 chỗ + Bọc PVC=5970600; Ghế 2 chỗ + Bọc Da thật=17419600; Ghế 2 chỗ + Bọc PVC=8185500; Ghế 3 chỗ + Bọc Da thật=21603300; Ghế 3 chỗ + Bọc PVC=10421800,da_that,bọc da thật hoặc PVC cao cấp,da_that,12,12,False,ok
98,Noi That Hoa Phat,Bộ ghế sofa gia đình SF312 - Ghế 3 chỗ + Bọc Da thật,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-gia-đình-SF312.html,200,22052700,22052700,,ok,Ghế 3 chỗ + Bọc Da thật,Bộ ghế Sofa + Bọc Da thật=None; Bộ ghế Sofa + Bọc PVC=None; Ghế 1 chỗ + Bọc Da thật=9897500; Ghế 1 chỗ + Bọc PVC=5029000; Ghế 2 chỗ + Bọc Da thật=15943000; Ghế 2 chỗ + Bọc PVC=7072700; Ghế 3 chỗ + Bọc Da thật=22052700; Ghế 3 chỗ + Bọc PVC=9009400,da_that,"bọc da thật cao cấp, hoặc giả da",da_that,12,12,False,ok
99,Noi That Hoa Phat,Bộ ghế sofa góc cỡ lớn SF602 - Ghế 3 chỗ + Bọc PVC,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-góc-cỡ-lớn-SF602.html,200,16381700,16381700,,ok,Ghế 3 chỗ + Bọc PVC,Ghế 3 chỗ + Bọc Da thật=31918100; Ghế 3 chỗ + Bọc PVC=16381700; Ghế 4 chỗ + Bọc Da thật=38669800; Ghế 4 chỗ + Bọc PVC=19795000,da_cong_nghiep,bọc da thật hoặc PVC Giá sản phẩm: giá trên là bộ ghế 3 chỗ SF602-3 da thật,da_cong_nghiep,12,12,False,ok
100,Noi That Hoa Phat,Bộ ghế sofa góc Hòa Phát SF101A - Ghế 3 chỗ + Bọc PVC,https://noithathoaphat.com.vn/products/Bộ-ghế-sofa-góc-Hòa-Phát-SF101A.html,200,17997400,17997400,,ok,Ghế 3 chỗ + Bọc PVC,Ghế 3 chỗ + Bọc Da thật=37385800; Ghế 3 chỗ + Bọc PVC=17997400; Ghế 4 chỗ + Bọc Da thật=42607400; Ghế 4 chỗ + Bọc PVC=21603300,da_cong_nghiep,bọc da thật cao cấp hoặc PVC,da_cong_nghiep,12,12,False,ok
